token,freq
recipe,80
nothing,80
featuring,80
shape,80
met,80
india,80
youtubers,80
jamie,80
there,80
mirror,79
drop,79
20,79
mancuso,79
think,79
play,79
working,78
mission,78
lucas,78
foundation,78
didn,78
dating,78
70,78
walker,78
skin,77
summer,77
happened,77
friends,77
jurassic,77
quick,77
pick,77
marshmello,77
impossible,77
job,77
cookies,77
york,76
urban,76
epic,76
60,76
february,76
act,76
truth,76
own,76
match,76
chicken,76
hollywood,76
fans,76
grande,76
underwood,76
fly,76
its,75
grand,75
person,75
bros,75
presents,75
broadway,75
parents,75
broke,75
player,75
egg,74
joe,74
country,74
tiny,74
guetta,74
biggest,74
eagles,74
cosmetics,74
julia,74
album,74
eve,74
than,74
uefa,73
still,73
travel,73
blue,73
second,73
alan,73
mcdonald,73
guess,73
ariana,73
state,73
glass,73
daughter,73
preview,72
trainor,72
expert,72
fried,72
ultimate,72
restaurant,72
lopez,72
wwe,72
yolanda,72
office,72
edition,72
give,72
puppy,72
cube,71
rose,71
drake,71
wins,71
feel,71
billboard,71
moore,71
nyc,71
rooster,71
lives,71
binging,71
rubik,71
fifa,71
thomas,71
finally,71
montana,70
wore,70
cyanide,70
happiness,70
alex,70
put,70
round,70
win,70
reacting,70
havana,70
crush,70
drama,70
long,69
mr,69
something,69
ufc,69
paramount,69
finale,69
seconds,69
cavaliers,69
welcome,69
charles,69
right,69
escape,69
coachella,69
hand,69
hacks,68
testing,68
jessica,68
free,68
advice,68
hotel,68
tmz,68
where,68
proposal,68
warriors,68
weather,68
mic,68
matt,68
record,68
hour,68
frozen,68
buffet,68
wake,67
teen,67
stuff,67
green,67
unboxing,67
rexha,67
chloe,67
great,67
apartment,67
bebe,67
small,67
learned,67
walk,67
points,67
kid,67
thor,66
grammys,66
extended,66
larry,66
dark,66
peter,66
around,66
21,66
body,66
mario,66
kris,66
girlfriend,66
would,66
sing,66
secrets,66
pie,66
buying,66
pro,66
tonight,66
cats,66
twitter,66
change,66
gift,66
city,66
caught,66
footage,66
madrid,65
card,65
jackson,65
self,65
versus,65
art,65
christopher,65
hey,65
rupaul,65
surprising,65
ve,65
clear,65
rich,65
weirdest,65
25,65
used,65
which,65
bean,65
five,65
crazy,65
incredibles,64
japan,64
hole,64
prison,64
famous,64
town,64
foil,64
better,64
champion,64
jones,64
child,64
january,64
returns,63
eminem,63
kendrick,63
prank,63
delicate,63
georgia,63
running,63
bay,63
movieclips,63
homemade,63
wife,63
problem,63
mean,63
gave,63
frontal,63
li,63
camera,62
talking,62
impressions,62
dj,62
cheap,62
says,62
plan,62
nail,62
airplane,62
homeless,62
jackie,62
aina,62
fight,62
eats,62
am,62
22,62
gq,62
cold,61
rippon,61
bruno,61
model,61
hill,61
move,61
covers,61
bella,61
half,61
lava,61
evans,61
liam,61
number,61
north,60
become,60
moving,60
charli,60
45m,60
stream,60
done,60
clip,60
mark,60
series,60
buy,60
hard,60
victoria,60
korea,60
blake,60
mike,60
whole,60
spy,60
tree,60
ryan,60
xcx,60
rocket,59
wilson,59
explains,59
michaels,59
alive,59
globes,59
weekend,59
detector,59
scuba,59
bar,59
studio,59
road,59
bgt,59
sivan,59
troye,59
chun,58
shots,58
switch,58
cool,58
spoilers,58
smallest,58
lii,58
gampp,58
potato,58
geographic,58
pok,58
walking,58
lady,58
calum,58
learn,58
been,58
together,57
pt,57
